{'title': '恒瑞医药注射用卡瑞利珠单抗主要研究终点结果达到方案预设优效标准', 'label': '1'}
{'title': '中集集团建议分拆中集安瑞环科并独立于股上市', 'label': '1'}
{'title': '郑中设计非公开发行股票申请获得证监会核准批复', 'label': '1'}
{'title': '泽璟制药公司在研产品获得美国孤儿药资格认定', 'label': '1'}
{'title': '海思科创新药乳状注射液获药物临床试验批准', 'label': '1'}
{'title': '九阳股份子公司部分土地将被收储补偿金额约亿元', 'label': '1'}
{'title': '特发信息子公司与特殊机构客户签订亿元军品采购框架协议', 'label': '1'}
{'title': '通鼎互联预中标中国电信集中采购项目', 'label': '1'}
{'title': '美联新材拟收购成都菲斯特新材料有限公司股权', 'label': '1'}
{'title': '微芯生物与海正药业签署独占许可及联合营销战略合作协议', 'label': '1'}
{'title': '广州发展控股子公司拟投建二期项目总投资约亿元', 'label': '1'}
{'title': '一汽富维中国一汽关联方通过大宗交易增持公司股份', 'label': '1'}
{'title': '深康佳拟出资不超亿元参与设立重庆康芯半导体产业基金', 'label': '1'}
{'title': '名家汇拟发行股份收购爱特微张家港半导体技术有限公司股权股票停牌', 'label': '1'}
{'title': '中国天楹筹划分拆全资子公司江苏城环至创业板上市', 'label': '1'}
{'title': '国投电力长江电力及其一致行动人增持公司股份合计持股比例升至', 'label': '1'}
{'title': '红墙股份预计全年盈利亿元至亿元同比增长至', 'label': '1'}
{'title': '中国中冶前月新签合同额亿元同比增长', 'label': '1'}
{'title': '招商港口月集装箱业务完成吞吐量同比增长', 'label': '1'}
{'title': '步步高拟与宿迁京东共同出资设立七鲜公司', 'label': '1'}
{'title': '晶澳科技拟亿元投资建设扬州年产高功率组件项目', 'label': '1'}
{'title': '赤峰黄金拟亿美元间接收购矿山控制权提高黄金资源储备', 'label': '1'}
{'title': '日播时尚拟以万元至万元回购股份', 'label': '1'}
{'title': '辉隆股份拟定增募资不超过亿元', 'label': '1'}
{'title': '精工钢构中标亿元装配式建筑重大项目', 'label': '1'}
{'title': '龙元建设签订亿元项目总承包合同', 'label': '1'}
{'title': '宏润建设中标亿元施工项目', 'label': '1'}
{'title': '京蓝科技子公司牵头的联合体共同中亿元项目', 'label': '1'}
{'title': '世纪星源中标亿元固废资源化及配套工程项目', 'label': '1'}
{'title': '长电科技非公开发行申请获证监会审核通过', 'label': '1'}
{'title': '特变电工与隆基股份子公司签署超亿元原生多晶硅料销售合同', 'label': '1'}
{'title': '浙数文化拟将二级控股子公司浙报融媒体科技分拆至科创板上市', 'label': '1'}
{'title': '中环股份间接控股股东科技增持公司股份', 'label': '1'}
{'title': '岩石拟万元收购章贡酒业股权和赣州长江实业股权', 'label': '1'}
{'title': '佳电股份拟筹划重大资产重组收购哈电动装股权', 'label': '1'}
{'title': '常铝股份子公司与瑞科生物签订新冠疫苗产业化净化安装工程合同', 'label': '1'}
{'title': '仙鹤股份拟投建年产万吨高性能纸基新材料及纤维制备项目预计投资金额为亿元', 'label': '1'}
{'title': '中原高速拟参与郑州至洛阳高速公路特许经营投资人投标项目投资估算约亿元', 'label': '1'}
{'title': '中国建筑回购股份方案实施完毕累计回购近亿元', 'label': '1'}
{'title': '中国电建前月新签合同总额亿元同比增', 'label': '1'}
{'title': '中贝通信预中标亿元中国移动项目', 'label': '1'}
{'title': '天奇股份子公司签订亿元订单', 'label': '1'}
{'title': '延长化建子公司拟签订亿元工程合同', 'label': '1'}
{'title': '依米康子公司中标亿元工程项目', 'label': '1'}
{'title': '华泰证券子公司获伦敦证券交易所做市商资格', 'label': '1'}
{'title': '大为股份拟定增募资不超亿元', 'label': '1'}
{'title': '天地数码拟发行可转债募资不超过亿元', 'label': '1'}
{'title': '常熟银行发行优先档次级档信托产品合计亿元', 'label': '1'}
{'title': '中华拟向万胜实业定增募资不超过亿元本次非公开发行股票完成后万胜实业成为公司控股股东王胜洪成为实际控制人', 'label': '1'}
{'title': '华友钴业非公开发行申请获证监会审核通过', 'label': '1'}
{'title': '尚纬股份非公开发行申请获证监会审核通过', 'label': '1'}
{'title': '海思科国家药监局批准环泊酚注射液上市', 'label': '1'}
{'title': '甘李药业门冬胰岛素注射液获得药品注册批件', 'label': '1'}
{'title': '圣济堂圣济堂制药甲巯咪唑原料药通过药品现场检查', 'label': '1'}
{'title': '长江证券证券投资基金托管资格获批', 'label': '1'}
{'title': '莱茵体育成都国资落地资产注入计划公司拟收购成都文旅股份股票将在月日复牌', 'label': '1'}
{'title': '妙可蓝多拟向内蒙蒙牛定增募资不超亿元内蒙蒙牛将成为公司控股股东', 'label': '1'}
{'title': '澳洋顺昌证券简称变更为蔚蓝锂芯拟逾亿元投建锂电池项目', 'label': '1'}
{'title': '美芝股份实控人拟变更为佛山市南海区国资委', 'label': '1'}
{'title': '双星新材拟亿元至亿元回购股份', 'label': '1'}
{'title': '葵花药业拟万元至亿元回购股份', 'label': '1'}
{'title': '欢瑞世纪董事长拟增持不低于万元', 'label': '1'}
{'title': '辽宁成大股东韶关高腾增持公司股份', 'label': '1'}
{'title': '新北洋子公司中标邮储银行采购项目', 'label': '1'}
{'title': '中电环保签订亿元田湾核电徐大堡核电水处理项目合同', 'label': '1'}
{'title': '大立科技新承担电子元器件领域工程研制项目', 'label': '1'}
{'title': '深信服定增募资亿元高毅资产林芝腾讯等参与认购', 'label': '1'}
{'title': '中远海发拟向混改基金转让中远海运租赁股权并引入战投对其增资亿亿元', 'label': '1'}
{'title': '中钨高新公司控股股东变更为五矿股份', 'label': '1'}
{'title': '中钢天源子公司中钢制品院拟实施增资混改方案', 'label': '1'}
{'title': '天齐锂业已完成相关贷款人要求的未付利息支付事宜', 'label': '1'}
{'title': '大连圣亚不存在经营业绩相关风险磐京基金增持万股', 'label': '1'}
{'title': '和顺电气控股股东拟协议转让公司股份', 'label': '1'}
{'title': '美盛文化控股股东拟向九州国泰协议转让总股本的', 'label': '1'}
{'title': '甘咨询三毛集团以亿元价格转让公司股权', 'label': '1'}
{'title': '数字政通承担国家重点研发计划物联网与智慧城市关键技术及示范项目', 'label': '1'}
{'title': '凯莱英在美国投资设立创新药研发中心', 'label': '1'}
